spectrum,peak_1,peak_2
1D_series_001,57714761728.0,1000274100224.0
1D_series_002,57057132544.0,835293134848.0
1D_series_003,60528684236.8,734329233408.0
1D_series_004,64449788313.6,678646431744.0
1D_series_005,73213609574.4,654505100902.4
1D_series_006,85082631372.8,632009867264.0
1D_series_007,87767605248.0,614155052646.4
1D_series_008,92908052480.0,600016045670.4
1D_series_009,98934228582.4,585104803430.4
1D_series_010,104468833894.4,574956063948.8
1D_series_011,116433736499.2,565750233497.6
1D_series_012,127468870041.6,565743552102.4
1D_series_013,131991629004.8,562344042496.0
1D_series_014,141935191654.4,558368487833.6
1D_series_015,151792045260.8,558963766067.2
1D_series_016,165034388684.8,556923627110.4
1D_series_017,175288297062.4,561897176268.8
1D_series_018,184139538432.0,567235706880.0
1D_series_019,200163065856.0,567210356326.4
1D_series_020,216309699379.2,572938721689.6
1D_series_021,222319422668.8,573455864627.2
1D_series_022,235464795750.4,561821075046.4
1D_series_023,244342373580.8,571127049420.8
1D_series_024,259291730739.2,561077837824.0
1D_series_025,270273183744.0,562348769280.0
1D_series_026,280920753766.4,557991147929.6
1D_series_027,297184240435.2,556700654796.8
1D_series_028,299331744563.2,551770660864.0
1D_series_029,312052098662.4,542805957017.6
1D_series_030,325700549017.6,529103238348.8
1D_series_031,337143206707.2,526622733516.8
1D_series_032,350679733043.2,528281013452.8
1D_series_033,359114181836.8,515050583244.8
1D_series_034,375396805836.8,517705700966.4
1D_series_035,377981044326.4,508814349107.2
1D_series_036,381431457382.4,492744731033.6
1D_series_037,397839823667.2,489852150579.2
1D_series_038,413930540236.8,488881067622.4
1D_series_039,421560175820.8,483871195136.0
1D_series_040,432071126220.8,475746615705.6
1D_series_041,439032433868.8,467827030425.6
1D_series_042,443083636736.0,451737444352.0
1D_series_043,457101153075.2,454593388544.0
1D_series_044,469706727424.0,451589346099.2
1D_series_045,474290488934.4,437884972236.8
1D_series_046,487044800512.0,433742345830.4
1D_series_047,497179829862.4,427327533465.6
1D_series_048,502122532044.8,420925313843.2
1D_series_049,507523127705.6,405252675174.4
1D_series_050,517464114790.4,407429241241.6
1D_series_051,535720537292.8,406395951718.4
1D_series_052,814907346124.8,267580671180.8
1D_series_053,717205947187.2,229688076288.0
